Type,freq 1,freq 2,freq 3,spectrogram class,
u,3760,15914,,1,
u,3451,15635,,1,
f,5170,10131,,2,
u,3578,15675,,1,
f,5024,,,2,
u,3093,15605,,1,
f,4863,9731,14431,2,
u,3193,15542,,1,
f,5120,10248,,2,
f,4668,9491,,3,
,4470,9351,13800,3,
f,5030,,,2,
f,5014,,,2,
u,3055,15260,,1,
f,4763,9610,14249,2,
u,3106,15659,,1,
f,5198,,,2,
,5144,,,3,
f,5018,14807,,2,
f,5030,,,2,
f,5003,,,2,
,4475,,,3,
f,5020,15129,9755,2,
,4399,8937,15572,3,
,5496,,,?,
,5148,,,3,
,5045,,,3,
,5184,,,3,
f,5104,,,2,
u,3156,limited?,,1,
,5094,,,3,faint
f,5714,9699,1467,2,
,4375,,,?,
,4353,,,?,
,5212,,,3,
,5069,,,3,
,5300,10719,15585,3,
,5254,10611,15222,3,mixed
,4713,9452,14358,3,
,5104,,,3,mixed
,4846,,,3,mixed
,5182,10275,15671,3,
f,4821,9693,,2,
f,5113,,,2,
u,3381,limited?,,1,
f,5079,10251,15028,2,
